2026-07-14 00:50:55  pid=2886499  rss=1644MB  jvm_heap=331/3200MB  direct=653/653MB  py_workers=18x3862MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:51:25  pid=2886499  rss=1645MB  jvm_heap=373/3200MB  direct=653/653MB  py_workers=18x3862MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:51:55  pid=2886499  rss=1649MB  jvm_heap=383/3200MB  direct=653/653MB  py_workers=18x3862MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:52:25  pid=2886499  rss=1650MB  jvm_heap=411/3200MB  direct=653/653MB  py_workers=18x3862MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.2Gi/62Gi
2026-07-14 00:52:56  pid=2886499  rss=1676MB  jvm_heap=435/3200MB  direct=653/653MB  py_workers=18x3863MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.3Gi/62Gi
2026-07-14 00:53:26  pid=2886499  rss=1691MB  jvm_heap=459/3200MB  direct=653/653MB  py_workers=18x3863MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.3Gi/62Gi
2026-07-14 00:53:56  pid=2886499  rss=1731MB  jvm_heap=485/3200MB  direct=653/653MB  py_workers=18x3863MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.3Gi/62Gi
2026-07-14 00:54:26  pid=2886499  rss=1746MB  jvm_heap=509/3200MB  direct=653/653MB  py_workers=18x3863MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.3Gi/62Gi
2026-07-14 00:54:56  pid=2886499  rss=1780MB  jvm_heap=537/3200MB  direct=653/653MB  py_workers=18x3863MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.3Gi/62Gi
2026-07-14 00:55:26  pid=2886499  rss=1796MB  jvm_heap=563/3200MB  direct=653/653MB  py_workers=18x3864MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.3Gi/62Gi
2026-07-14 00:55:57  pid=2886499  rss=1878MB  jvm_heap=587/3200MB  direct=653/653MB  py_workers=18x3864MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.4Gi/62Gi
2026-07-14 00:56:27  pid=2886499  rss=1879MB  jvm_heap=134/3200MB  direct=653/653MB  py_workers=18x3864MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.4Gi/62Gi
2026-07-14 00:56:57  pid=2886499  rss=1881MB  jvm_heap=174/3200MB  direct=653/653MB  py_workers=18x3864MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.4Gi/62Gi
2026-07-14 00:57:27  pid=2886499  rss=1882MB  jvm_heap=198/3200MB  direct=653/653MB  py_workers=18x3865MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.4Gi/62Gi
2026-07-14 00:57:57  pid=2886499  rss=1887MB  jvm_heap=224/3200MB  direct=653/653MB  py_workers=18x3865MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.4Gi/62Gi
2026-07-14 00:58:27  pid=2886499  rss=1879MB  jvm_heap=250/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.4Gi/62Gi
2026-07-14 00:58:57  pid=2886499  rss=1880MB  jvm_heap=276/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 00:59:28  pid=2886499  rss=1883MB  jvm_heap=298/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 00:59:58  pid=2886499  rss=1884MB  jvm_heap=322/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:00:28  pid=2886499  rss=1884MB  jvm_heap=344/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:00:58  pid=2886499  rss=1883MB  jvm_heap=390/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:01:28  pid=2886499  rss=1883MB  jvm_heap=400/3200MB  direct=653/653MB  py_workers=18x3866MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:01:58  pid=2886499  rss=1883MB  jvm_heap=438/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:02:29  pid=2886499  rss=1886MB  jvm_heap=448/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:02:59  pid=2886499  rss=1887MB  jvm_heap=488/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:03:29  pid=2886499  rss=1888MB  jvm_heap=488/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:03:59  pid=2886499  rss=1890MB  jvm_heap=532/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:04:29  pid=2886499  rss=1890MB  jvm_heap=532/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:04:59  pid=2886499  rss=1895MB  jvm_heap=578/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:05:29  pid=2886499  rss=1897MB  jvm_heap=578/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:06:00  pid=2886499  rss=1901MB  jvm_heap=622/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:06:30  pid=2886499  rss=1905MB  jvm_heap=622/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:07:00  pid=2886499  rss=1938MB  jvm_heap=664/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:07:30  pid=2886499  rss=1951MB  jvm_heap=676/3200MB  direct=653/653MB  py_workers=18x3867MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:08:00  pid=2886499  rss=1979MB  jvm_heap=692/3200MB  direct=653/653MB  py_workers=18x3868MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.5Gi/62Gi
2026-07-14 01:08:30  pid=2886499  rss=1994MB  jvm_heap=720/3200MB  direct=653/653MB  py_workers=18x3868MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.6Gi/62Gi
2026-07-14 01:09:01  pid=2886499  rss=2019MB  jvm_heap=734/3200MB  direct=653/653MB  py_workers=18x4172MB  loss=n/a(avg16=n/a)  mae=n/a  sys_used=4.9Gi/62Gi
2026-07-14 01:09:31  pid=2886499  rss=3409MB  jvm_heap=1144/3200MB  direct=655/655MB  py_workers=18x5962MB  loss=9.73(avg16=29.65)  mae=4.51  sys_used=7.8Gi/62Gi
2026-07-14 01:10:01  pid=2886499  rss=3711MB  jvm_heap=2298/3200MB  direct=657/657MB  py_workers=18x7949MB  loss=17.49(avg16=32.79)  mae=4.76  sys_used=9.7Gi/62Gi
2026-07-14 01:10:31  pid=2886499  rss=3712MB  jvm_heap=1263/3200MB  direct=657/657MB  py_workers=18x8536MB  loss=40.67(avg16=33.50)  mae=4.81  sys_used=10Gi/62Gi
2026-07-14 01:11:01  pid=2886499  rss=3757MB  jvm_heap=1275/3200MB  direct=669/669MB  py_workers=18x9852MB  loss=39.20(avg16=34.51)  mae=4.88  sys_used=11Gi/62Gi
2026-07-14 01:11:31  pid=2886499  rss=3765MB  jvm_heap=984/3200MB  direct=657/657MB  py_workers=18x11292MB  loss=54.05(avg16=35.10)  mae=4.93  sys_used=12Gi/62Gi
2026-07-14 01:12:01  pid=2886499  rss=3782MB  jvm_heap=1490/3200MB  direct=657/657MB  py_workers=18x11130MB  loss=20.01(avg16=33.40)  mae=4.75  sys_used=12Gi/62Gi
2026-07-14 01:12:32  pid=2886499  rss=3812MB  jvm_heap=796/3200MB  direct=661/661MB  py_workers=18x11623MB  loss=25.40(avg16=34.65)  mae=4.84  sys_used=13Gi/62Gi
2026-07-14 01:13:02  pid=2886499  rss=3813MB  jvm_heap=833/3200MB  direct=663/663MB  py_workers=18x12323MB  loss=19.61(avg16=34.35)  mae=4.84  sys_used=13Gi/62Gi
2026-07-14 01:13:32  pid=2886499  rss=3804MB  jvm_heap=1060/3200MB  direct=661/661MB  py_workers=18x12448MB  loss=9.87(avg16=33.57)  mae=4.73  sys_used=13Gi/62Gi
2026-07-14 01:14:02  pid=2886499  rss=3809MB  jvm_heap=1706/3200MB  direct=661/661MB  py_workers=18x13274MB  loss=20.41(avg16=34.55)  mae=4.71  sys_used=14Gi/62Gi
2026-07-14 01:14:32  pid=2886499  rss=3832MB  jvm_heap=1264/3200MB  direct=665/665MB  py_workers=18x13739MB  loss=57.69(avg16=37.86)  mae=4.82  sys_used=15Gi/62Gi
2026-07-14 01:15:02  pid=2886499  rss=3831MB  jvm_heap=1663/3200MB  direct=665/665MB  py_workers=18x13806MB  loss=4.44(avg16=32.66)  mae=4.27  sys_used=15Gi/62Gi
2026-07-14 01:15:32  pid=2886499  rss=3823MB  jvm_heap=1558/3200MB  direct=667/667MB  py_workers=18x14193MB  loss=4.11(avg16=31.17)  mae=4.13  sys_used=15Gi/62Gi
2026-07-14 01:16:03  pid=2886499  rss=3853MB  jvm_heap=769/3200MB  direct=663/663MB  py_workers=18x14458MB  loss=3.68(avg16=28.86)  mae=3.96  sys_used=15Gi/62Gi
2026-07-14 01:16:33  pid=2886499  rss=3853MB  jvm_heap=845/3200MB  direct=665/665MB  py_workers=18x14161MB  loss=2.36(avg16=25.51)  mae=3.69  sys_used=15Gi/62Gi
2026-07-14 01:17:03  pid=2886499  rss=3854MB  jvm_heap=889/3200MB  direct=665/665MB  py_workers=18x14148MB  loss=42.48(avg16=25.19)  mae=3.78  sys_used=15Gi/62Gi
2026-07-14 01:17:33  pid=2886499  rss=3855MB  jvm_heap=1608/3200MB  direct=665/665MB  py_workers=18x14820MB  loss=6.97(avg16=25.63)  mae=3.85  sys_used=16Gi/62Gi
2026-07-14 01:18:03  pid=2886499  rss=3845MB  jvm_heap=954/3200MB  direct=665/665MB  py_workers=18x14523MB  loss=7.60(avg16=26.27)  mae=3.93  sys_used=16Gi/62Gi
2026-07-14 01:18:33  pid=2886499  rss=3859MB  jvm_heap=1025/3200MB  direct=663/663MB  py_workers=18x14534MB  loss=9.66(avg16=26.50)  mae=4.01  sys_used=16Gi/62Gi
2026-07-14 01:19:04  pid=2886499  rss=3830MB  jvm_heap=1090/3200MB  direct=665/665MB  py_workers=18x14710MB  loss=18.35(avg16=29.65)  mae=4.26  sys_used=16Gi/62Gi
2026-07-14 01:19:34  pid=2886499  rss=3844MB  jvm_heap=1199/3200MB  direct=661/661MB  py_workers=18x14875MB  loss=53.08(avg16=32.25)  mae=4.50  sys_used=16Gi/62Gi
2026-07-14 01:20:04  pid=2886499  rss=3846MB  jvm_heap=1635/3200MB  direct=663/663MB  py_workers=18x15188MB  loss=20.16(avg16=31.77)  mae=4.38  sys_used=16Gi/62Gi
2026-07-14 01:20:34  pid=2886499  rss=3830MB  jvm_heap=1635/3200MB  direct=663/663MB  py_workers=18x15136MB  loss=15.75(avg16=34.00)  mae=4.47  sys_used=16Gi/62Gi
2026-07-14 01:21:04  pid=2886499  rss=3829MB  jvm_heap=1330/3200MB  direct=663/663MB  py_workers=18x15531MB  loss=23.15(avg16=32.58)  mae=4.35  sys_used=16Gi/62Gi
2026-07-14 01:21:34  pid=2886499  rss=3843MB  jvm_heap=1476/3200MB  direct=663/663MB  py_workers=18x15621MB  loss=52.67(avg16=36.21)  mae=4.54  sys_used=17Gi/62Gi
2026-07-14 01:22:04  pid=2886499  rss=3844MB  jvm_heap=1482/3200MB  direct=663/663MB  py_workers=18x16087MB  loss=30.91(avg16=36.93)  mae=4.53  sys_used=17Gi/62Gi
2026-07-14 01:22:35  pid=2886499  rss=3858MB  jvm_heap=1213/3200MB  direct=663/663MB  py_workers=18x15830MB  loss=36.58(avg16=37.12)  mae=4.52  sys_used=17Gi/62Gi
2026-07-14 01:23:05  pid=2886499  rss=3844MB  jvm_heap=777/3200MB  direct=665/665MB  py_workers=18x15918MB  loss=18.64(avg16=38.60)  mae=4.55  sys_used=17Gi/62Gi
2026-07-14 01:23:35  pid=2886499  rss=3844MB  jvm_heap=857/3200MB  direct=663/663MB  py_workers=18x16039MB  loss=20.93(avg16=37.89)  mae=4.50  sys_used=17Gi/62Gi
2026-07-14 01:24:05  pid=2886499  rss=3858MB  jvm_heap=934/3200MB  direct=663/663MB  py_workers=18x16163MB  loss=40.80(avg16=40.02)  mae=4.68  sys_used=17Gi/62Gi
2026-07-14 01:24:35  pid=2886499  rss=3857MB  jvm_heap=1240/3200MB  direct=665/665MB  py_workers=18x16877MB  loss=38.52(avg16=39.51)  mae=4.69  sys_used=18Gi/62Gi
2026-07-14 01:25:05  pid=2886499  rss=3844MB  jvm_heap=764/3200MB  direct=665/665MB  py_workers=18x16457MB  loss=10.70(avg16=37.33)  mae=4.59  sys_used=17Gi/62Gi
2026-07-14 01:25:36  pid=2886499  rss=3830MB  jvm_heap=1154/3200MB  direct=663/663MB  py_workers=18x16444MB  loss=50.42(avg16=40.64)  mae=4.87  sys_used=17Gi/62Gi
2026-07-14 01:26:06  pid=2886499  rss=3853MB  jvm_heap=1214/3200MB  direct=659/659MB  py_workers=18x16580MB  loss=22.38(avg16=38.11)  mae=4.77  sys_used=18Gi/62Gi
2026-07-14 01:26:36  pid=2886499  rss=3859MB  jvm_heap=1373/3200MB  direct=661/661MB  py_workers=18x16875MB  loss=45.99(avg16=40.09)  mae=4.91  sys_used=18Gi/62Gi
2026-07-14 01:27:06  pid=2886499  rss=3850MB  jvm_heap=753/3200MB  direct=661/661MB  py_workers=18x16663MB  loss=39.50(avg16=40.01)  mae=4.69  sys_used=18Gi/62Gi
2026-07-14 01:27:36  pid=2886499  rss=3851MB  jvm_heap=1199/3200MB  direct=661/661MB  py_workers=18x16593MB  loss=37.84(avg16=42.25)  mae=4.75  sys_used=18Gi/62Gi
2026-07-14 01:28:06  pid=2886499  rss=3865MB  jvm_heap=872/3200MB  direct=661/661MB  py_workers=18x16621MB  loss=53.70(avg16=45.81)  mae=4.87  sys_used=18Gi/62Gi
2026-07-14 01:28:37  pid=2886499  rss=3879MB  jvm_heap=1006/3200MB  direct=663/663MB  py_workers=18x16929MB  loss=51.84(avg16=49.39)  mae=5.04  sys_used=18Gi/62Gi
2026-07-14 01:29:07  pid=2886499  rss=3864MB  jvm_heap=1604/3200MB  direct=663/663MB  py_workers=18x17156MB  loss=35.27(avg16=53.26)  mae=5.38  sys_used=18Gi/62Gi
2026-07-14 01:29:37  pid=2886499  rss=3894MB  jvm_heap=1299/3200MB  direct=663/663MB  py_workers=18x17273MB  loss=58.51(avg16=53.93)  mae=5.34  sys_used=18Gi/62Gi
2026-07-14 01:30:07  pid=2886499  rss=3880MB  jvm_heap=1233/3200MB  direct=665/665MB  py_workers=18x17095MB  loss=57.13(avg16=52.61)  mae=5.29  sys_used=18Gi/62Gi
2026-07-14 01:30:37  pid=2886499  rss=3894MB  jvm_heap=1527/3200MB  direct=663/663MB  py_workers=18x16926MB  loss=62.22(avg16=52.25)  mae=5.31  sys_used=18Gi/62Gi
2026-07-14 01:31:07  pid=2886499  rss=3866MB  jvm_heap=897/3200MB  direct=665/665MB  py_workers=18x16857MB  loss=54.04(avg16=54.06)  mae=5.38  sys_used=18Gi/62Gi
2026-07-14 01:31:38  pid=2886499  rss=3887MB  jvm_heap=1026/3200MB  direct=661/661MB  py_workers=18x17637MB  loss=72.78(avg16=61.35)  mae=5.86  sys_used=19Gi/62Gi
2026-07-14 01:32:08  pid=2886499  rss=3888MB  jvm_heap=1374/3200MB  direct=667/667MB  py_workers=18x17363MB  loss=46.65(avg16=63.04)  mae=6.06  sys_used=18Gi/62Gi
2026-07-14 01:32:38  pid=2886499  rss=3889MB  jvm_heap=1310/3200MB  direct=667/667MB  py_workers=18x17248MB  loss=50.34(avg16=62.82)  mae=6.19  sys_used=18Gi/62Gi
2026-07-14 01:33:08  pid=2886499  rss=3876MB  jvm_heap=1490/3200MB  direct=665/665MB  py_workers=18x17311MB  loss=84.40(avg16=62.00)  mae=6.21  sys_used=18Gi/62Gi
2026-07-14 01:33:38  pid=2886499  rss=3876MB  jvm_heap=897/3200MB  direct=663/663MB  py_workers=18x17588MB  loss=59.06(avg16=63.18)  mae=6.26  sys_used=19Gi/62Gi
2026-07-14 01:34:08  pid=2886499  rss=3862MB  jvm_heap=1005/3200MB  direct=663/663MB  py_workers=18x17926MB  loss=49.06(avg16=62.62)  mae=6.16  sys_used=19Gi/62Gi
2026-07-14 01:34:38  pid=2886499  rss=3879MB  jvm_heap=1554/3200MB  direct=661/661MB  py_workers=18x17843MB  loss=83.29(avg16=66.12)  mae=6.26  sys_used=19Gi/62Gi
2026-07-14 01:35:09  pid=2886499  rss=3869MB  jvm_heap=1306/3200MB  direct=663/663MB  py_workers=18x17265MB  loss=67.77(avg16=69.20)  mae=6.43  sys_used=18Gi/62Gi
2026-07-14 01:35:39  pid=2886499  rss=3855MB  jvm_heap=922/3200MB  direct=661/661MB  py_workers=18x17385MB  loss=92.38(avg16=69.30)  mae=6.44  sys_used=18Gi/62Gi
2026-07-14 01:36:09  pid=2886499  rss=3869MB  jvm_heap=1078/3200MB  direct=659/659MB  py_workers=18x17599MB  loss=94.60(avg16=72.15)  mae=6.60  sys_used=19Gi/62Gi
2026-07-14 01:36:39  pid=2886499  rss=3869MB  jvm_heap=1294/3200MB  direct=661/661MB  py_workers=18x17895MB  loss=65.64(avg16=76.19)  mae=6.87  sys_used=19Gi/62Gi
2026-07-14 01:37:09  pid=2886499  rss=3871MB  jvm_heap=1217/3200MB  direct=661/661MB  py_workers=18x17314MB  loss=84.64(avg16=80.01)  mae=7.17  sys_used=18Gi/62Gi
2026-07-14 01:37:39  pid=2886499  rss=3871MB  jvm_heap=987/3200MB  direct=663/663MB  py_workers=18x16981MB  loss=80.77(avg16=83.38)  mae=7.47  sys_used=18Gi/62Gi
2026-07-14 01:38:10  pid=2886499  rss=3875MB  jvm_heap=1177/3200MB  direct=663/663MB  py_workers=18x17067MB  loss=112.26(avg16=86.63)  mae=7.75  sys_used=18Gi/62Gi
2026-07-14 01:38:40  pid=2886499  rss=3889MB  jvm_heap=1426/3200MB  direct=663/663MB  py_workers=18x17136MB  loss=77.94(avg16=86.64)  mae=7.89  sys_used=18Gi/62Gi
2026-07-14 01:39:10  pid=2886499  rss=3883MB  jvm_heap=1612/3200MB  direct=665/665MB  py_workers=18x17367MB  loss=90.33(avg16=85.28)  mae=8.02  sys_used=18Gi/62Gi
2026-07-14 01:39:40  pid=2886499  rss=3897MB  jvm_heap=1444/3200MB  direct=669/669MB  py_workers=18x17292MB  loss=83.75(avg16=87.12)  mae=8.13  sys_used=18Gi/62Gi
2026-07-14 01:40:10  pid=2886499  rss=3897MB  jvm_heap=1407/3200MB  direct=671/671MB  py_workers=18x17143MB  loss=72.45(avg16=85.98)  mae=8.03  sys_used=18Gi/62Gi
2026-07-14 01:40:40  pid=2886499  rss=3897MB  jvm_heap=1001/3200MB  direct=671/671MB  py_workers=18x16996MB  loss=76.96(avg16=89.07)  mae=8.16  sys_used=18Gi/62Gi
2026-07-14 01:41:11  pid=2886499  rss=3883MB  jvm_heap=1177/3200MB  direct=671/671MB  py_workers=18x16845MB  loss=122.64(avg16=95.43)  mae=8.50  sys_used=18Gi/62Gi
2026-07-14 01:41:41  pid=2886499  rss=3897MB  jvm_heap=1489/3200MB  direct=669/669MB  py_workers=18x17156MB  loss=87.51(avg16=96.11)  mae=8.56  sys_used=18Gi/62Gi
2026-07-14 01:42:11  pid=2886499  rss=3889MB  jvm_heap=1582/3200MB  direct=671/671MB  py_workers=18x17400MB  loss=113.37(avg16=97.83)  mae=8.74  sys_used=18Gi/62Gi
2026-07-14 01:42:41  pid=2886499  rss=3885MB  jvm_heap=1510/3200MB  direct=669/669MB  py_workers=18x17221MB  loss=125.30(avg16=97.00)  mae=8.73  sys_used=18Gi/62Gi
2026-07-14 01:43:11  pid=2886499  rss=3899MB  jvm_heap=1049/3200MB  direct=669/669MB  py_workers=18x17556MB  loss=124.69(avg16=99.16)  mae=8.89  sys_used=19Gi/62Gi
2026-07-14 01:43:41  pid=2886499  rss=3900MB  jvm_heap=1411/3200MB  direct=671/671MB  py_workers=18x17086MB  loss=115.96(avg16=98.38)  mae=8.86  sys_used=18Gi/62Gi
