emit_ts_ms,src_ts_ms,latency_ms
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944173,1784094937552,6621
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944234,1784094937552,6682
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944292,1784094937552,6740
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944351,1784094937552,6799
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944412,1784094937552,6860
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944510,1784094937552,6958
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944570,1784094937552,7018
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944627,1784094937552,7075
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944684,1784094937552,7132
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944742,1784094937552,7190
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944800,1784094937552,7248
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944857,1784094937552,7305
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944915,1784094937552,7363
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094944975,1784094937552,7423
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945046,1784094937552,7494
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945147,1784094937552,7595
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945237,1784094937552,7685
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945330,1784094937552,7778
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945416,1784094937552,7864
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945531,1784094937552,7979
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945611,1784094937552,8059
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945673,1784094937552,8121
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945740,1784094937552,8188
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945816,1784094937552,8264
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945909,1784094937552,8357
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094945982,1784094937552,8430
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946051,1784094937552,8499
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946109,1784094937552,8557
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946167,1784094937552,8615
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946226,1784094937552,8674
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946284,1784094937552,8732
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946342,1784094937552,8790
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946400,1784094937552,8848
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946459,1784094937552,8907
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946517,1784094937552,8965
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946574,1784094937552,9022
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946633,1784094937552,9081
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946691,1784094937552,9139
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946748,1784094937552,9196
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946807,1784094937552,9255
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946865,1784094937552,9313
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946926,1784094937552,9374
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094946984,1784094937552,9432
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947041,1784094937552,9489
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947098,1784094937552,9546
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947184,1784094937552,9632
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947286,1784094937552,9734
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947374,1784094937552,9822
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947477,1784094937552,9925
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094947593,1784094937552,10041
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994264,1784094987610,6654
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994329,1784094987610,6719
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994399,1784094987610,6789
1784094994472,1784094987610,6862
1784094994472,1784094987610,6862
1784094994472,1784094987610,6862
1784094994472,1784094987610,6862
