ts,parallelism,vertex,subtask,metric,value
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,busyTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,numRecordsOutPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,idleTimeMsPerSecond,1000.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,numRecordsOut,6125.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,numRecordsIn,6125.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,numRecordsInPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",0,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,busyTimeMsPerSecond,1.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,numRecordsOutPerSecond,0.03333333333333333
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,idleTimeMsPerSecond,999.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,numRecordsOut,6019.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,numRecordsIn,6019.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,numRecordsInPerSecond,0.03333333333333333
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",1,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,busyTimeMsPerSecond,1.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,numRecordsOutPerSecond,0.016666666666666666
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,idleTimeMsPerSecond,999.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,numRecordsOut,6228.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,numRecordsIn,6228.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,numRecordsInPerSecond,0.016666666666666666
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",2,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,busyTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,numRecordsOutPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,idleTimeMsPerSecond,1000.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,numRecordsOut,6015.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,numRecordsIn,6015.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,numRecordsInPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",3,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,busyTimeMsPerSecond,4.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,numRecordsOutPerSecond,0.016666666666666666
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,idleTimeMsPerSecond,996.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,numRecordsOut,6065.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,numRecordsIn,6065.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,numRecordsInPerSecond,0.016666666666666666
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",4,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,busyTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,numRecordsOutPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,idleTimeMsPerSecond,1000.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,numRecordsOut,6097.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,numRecordsIn,6097.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,numRecordsInPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",5,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,busyTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,numRecordsOutPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,idleTimeMsPerSecond,1000.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,numRecordsOut,6054.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,numRecordsIn,6054.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,numRecordsInPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",6,backPressuredTimeMsPerSecond,0.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,busyTimeMsPerSecond,2.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,numRecordsOutPerSecond,0.03333333333333333
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,idleTimeMsPerSecond,998.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,numRecordsOut,5964.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,numRecordsIn,5964.0
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,numRecordsInPerSecond,0.03333333333333333
1784197825,8,"Source: Source-data -> LoadJSON, Parse, _stream_key_by_map_operator",7,backPressuredTimeMsPerSecond,0.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,busyTimeMsPerSecond,527.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,numRecordsOutPerSecond,0.13333333333333333
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,idleTimeMsPerSecond,0.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,numRecordsOut,106.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,numRecordsIn,107.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,numRecordsInPerSecond,0.13333333333333333
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",0,backPressuredTimeMsPerSecond,473.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,busyTimeMsPerSecond,479.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,numRecordsOutPerSecond,0.15
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,idleTimeMsPerSecond,0.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,numRecordsOut,115.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,numRecordsIn,116.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,numRecordsInPerSecond,0.15
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",1,backPressuredTimeMsPerSecond,521.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,busyTimeMsPerSecond,847.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,numRecordsOutPerSecond,0.13333333333333333
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,idleTimeMsPerSecond,0.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,numRecordsOut,62.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,numRecordsIn,63.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,numRecordsInPerSecond,0.13333333333333333
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",2,backPressuredTimeMsPerSecond,153.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",3,busyTimeMsPerSecond,0.0
1784197825,8,"KEYED PROCESS, Parse->Train, _stream_key_by_map_operator",3,numRecordsOutPerSecond,0.0
