t,n_workers,total_mb,event
8747,8,14186.4,
8777,8,14896.4,
8807,8,14595.3,
8837,8,14861.0,
8867,8,14398.4,
8897,8,14463.0,
8927,8,14835.3,
8957,8,15049.9,
8987,8,14569.5,
9017,8,14643.7,
9047,8,14785.3,
9078,8,15206.1,
9108,8,14925.6,
9138,8,15064.8,
9168,8,15211.9,
9198,8,14793.9,
9228,8,15112.1,
9258,8,14850.5,
9288,8,14991.2,
9318,8,14903.7,
9348,8,14752.1,
9378,8,15306.0,
9408,8,14981.0,
9438,8,14866.5,
9468,8,14604.7,
9498,8,14993.3,
9528,8,14740.5,
9559,8,14953.5,
9589,8,15240.5,
9619,8,14920.3,recycle
9649,8,1921.8,
9679,8,4709.1,
9709,8,8019.0,
9739,8,8862.5,
9769,8,9249.0,
9799,8,9732.1,
9829,8,10648.5,
9859,8,10567.0,
9889,8,10935.9,
9919,8,10916.9,
9949,8,11147.9,
9979,8,11901.1,
10009,8,11585.4,
10039,8,11741.7,
10069,8,11968.1,
10100,8,12667.2,
10130,8,12148.2,
10160,8,12438.9,
10190,8,12496.4,
10220,8,12607.1,
10250,8,12927.6,
10280,8,13281.4,
10310,8,13081.7,
10340,8,13250.6,
10370,8,13113.0,
10400,8,13031.9,
10430,8,13250.5,
10460,8,13704.9,
10490,8,13937.7,
10520,8,13854.8,
10550,8,13702.0,
10580,8,13758.9,
10610,8,13474.7,
10641,8,13772.3,
10671,8,14052.1,
10701,8,14177.7,
10731,8,13863.3,
10761,8,14156.7,
10791,8,13757.1,
10821,8,13782.6,
10851,8,14366.7,
10881,8,14012.8,
10911,8,14584.0,
10941,8,14794.3,
10971,8,14318.4,
11001,8,14545.7,
11031,8,14210.8,
11061,8,14287.6,
11091,8,14207.6,
11121,8,14216.1,
11151,8,14342.7,
11181,8,14655.2,
11211,8,14253.6,
11242,8,14414.8,
11272,8,14368.7,
11302,8,14412.9,
11332,8,14549.8,
11362,8,14683.2,
11392,8,14808.1,
11422,8,14863.7,
11452,8,14949.4,
11482,8,14528.4,
11512,8,14635.6,
11542,8,14821.5,
11572,8,15105.0,
11602,8,15501.3,
11632,8,15101.4,
11662,8,15344.8,
11692,8,15109.0,
11722,8,14779.9,
11753,8,15418.5,
11783,8,15060.6,
11813,8,15355.2,
11843,8,15242.3,
11873,8,15472.9,
11903,8,15542.0,
11933,8,15503.5,
11963,8,15527.5,
11993,8,15157.0,
12023,8,15447.4,recycle
12053,8,1906.9,
12083,8,3561.0,
12113,8,6624.8,
12143,8,9339.6,
12173,8,9377.4,
12203,8,9881.7,
12233,8,10511.3,
12263,8,11177.3,
12294,8,11215.2,
12324,8,11835.2,
12354,8,11788.6,
12384,8,11898.2,
12414,8,12033.0,
12444,8,12054.5,
12474,8,12764.3,
12504,8,12707.9,
12534,8,12677.7,
12564,8,12854.5,
12594,8,12786.2,
12624,8,12696.7,
12654,8,12943.2,
12684,8,12882.4,
12714,8,12859.1,
12744,8,12945.9,
12774,8,13375.1,
12805,8,13804.4,
12835,8,13279.0,
12865,8,13502.1,
12895,8,14073.5,
12925,8,13832.8,
12955,8,13598.2,
12985,8,14078.1,
13015,8,13958.5,
13045,8,14390.0,
13075,8,14221.8,
13105,8,14425.9,
13135,8,14622.3,
13165,8,14427.6,
13195,8,14019.7,
13225,8,14420.5,
13255,8,14212.5,
13286,8,14950.5,
13316,8,14447.3,
13346,8,14298.5,
13376,8,14300.8,
13406,8,14854.7,
13436,8,14445.1,
13466,8,14577.9,
13496,8,14974.3,
13526,8,14614.3,
13556,8,14530.3,
13586,8,14649.6,
13616,8,14861.2,
13646,8,14579.8,
13676,8,14440.8,
13706,8,14880.4,
13736,8,15085.0,
13766,8,14883.3,
13796,8,15010.4,
13826,8,14589.1,
13857,8,15089.2,
13887,8,14890.5,
13917,8,14624.9,
13947,8,15113.5,
13977,8,14504.7,
14007,8,14778.1,
14037,8,15046.7,
14067,8,14535.3,
14097,8,14957.6,
14127,8,15129.8,
14157,8,14777.3,
14187,8,14595.8,
14217,8,14960.6,
14247,8,14951.6,
14277,8,15136.3,
14307,8,15262.2,
14338,8,15544.8,
14368,8,15620.2,
14398,8,15280.8,
14428,8,15371.2,recycle
14458,8,1895.9,
14488,8,3755.6,
14518,8,6475.2,
14548,8,8232.1,
14578,8,8422.8,
14608,8,9646.1,
14638,8,10078.7,
14668,8,10264.8,
14698,8,10907.9,
14728,8,10985.3,
14758,8,11364.6,
14789,8,11244.4,
14819,8,11625.9,
14849,8,11861.3,
14879,8,12271.6,
14909,8,12342.2,
14939,8,12421.7,
14969,8,12760.4,
14999,8,12885.9,
15029,8,12569.6,
15059,8,12820.7,
15089,8,12989.2,
15119,8,12580.7,
15149,8,12900.1,
15179,8,12800.7,
15209,8,13304.2,
15239,8,13427.6,
15269,8,13564.6,
15299,8,14080.8,
15330,8,14003.7,
15360,8,13595.4,
15390,8,13849.9,
15420,8,14413.0,
15450,8,14098.3,
15480,8,14692.5,
15510,8,14505.1,
15540,8,14309.1,
15570,8,14686.1,
15600,8,14913.2,
15630,8,14391.6,
15660,8,14501.6,
15690,8,15078.4,
15720,8,14846.7,
15750,8,15003.3,
15780,8,14554.8,
15810,8,15153.5,
15841,8,15091.1,
15871,8,14658.2,
15901,8,15004.4,
15931,8,15370.9,
15961,8,14818.8,
15991,8,15205.1,
16021,8,15110.5,
16051,8,14857.9,
16081,8,14712.2,
16111,8,14699.4,
16141,8,15063.7,
16171,8,15126.7,
16201,8,15509.3,
16231,8,15296.5,
16261,8,15237.1,
16291,8,15376.5,
16321,8,15383.7,
16351,8,15828.9,
16381,8,15541.6,
16412,8,15355.7,
16442,8,15642.0,
16472,8,15332.5,
16502,8,15215.6,
16532,8,15206.4,
16562,8,15164.6,
16592,8,15319.0,
16622,8,15013.7,
16652,8,15589.3,
16682,8,15487.5,
16712,8,15339.1,
16742,8,15323.9,
16772,8,15275.9,
16802,8,15178.2,
16832,8,15590.2,recycle
16862,8,1861.3,
16893,8,3735.6,
16923,8,8080.8,
16953,8,9214.3,
16983,8,9519.4,
17013,8,10297.9,
17043,8,10686.4,
17073,8,10884.9,
17103,8,11552.3,
17133,8,11398.7,
17163,8,11718.6,
17193,8,11883.9,
17223,8,12007.4,
17253,8,12264.7,
17283,8,12282.9,
17313,8,12792.1,
17343,8,12872.6,
17373,8,12875.3,
17404,8,12933.3,
17434,8,13067.5,
17464,8,12821.9,
17494,8,13140.4,
17524,8,1819.7,
17554,8,2983.8,
17584,8,7246.9,
17614,8,8212.4,
17644,8,9757.9,
17674,8,10002.6,
17704,8,10799.5,
17734,8,10750.6,
17764,8,11094.6,
17794,8,11712.2,
17824,8,11545.2,
17854,8,12170.8,
17884,8,11998.2,
17914,8,12479.1,
17945,8,12676.9,
17975,8,12952.5,
18005,8,12537.5,
18035,8,12727.8,
18065,8,12912.3,
18095,8,12833.4,
18125,8,13352.5,
18155,8,12947.2,
18185,8,12999.8,
18215,8,13123.7,
18245,8,13006.3,
18275,8,13418.8,
18305,8,13283.3,
18335,8,13213.9,
18365,8,13692.2,
18395,8,13424.8,
18425,8,13595.0,
18456,8,13535.0,
18486,8,13514.5,
18516,8,13865.7,
18546,8,13520.4,
18576,8,13720.6,
18606,8,14058.7,
18636,8,13979.8,
18666,8,14048.0,
18696,8,14146.7,
18726,8,14055.7,
18756,8,13905.5,
18786,8,14186.5,
18816,8,14541.4,
18846,8,14448.7,
18876,8,14597.5,
18906,8,14440.7,
18936,8,14344.5,
18966,8,14359.8,
18997,8,14298.4,
19027,8,14686.4,
19057,8,14429.9,
19087,8,14651.2,
19117,8,14153.6,
19147,8,14710.1,
19177,8,14135.6,
19207,8,14560.1,
19237,8,14170.3,recycle
19267,8,1591.7,
19297,8,2058.8,
19327,8,4824.8,
19357,8,7318.4,
19387,8,9011.1,
19417,8,9593.4,
19447,8,9966.2,
19477,8,10187.8,
19508,8,10654.0,
19538,8,10406.4,
19568,8,10972.4,
19598,8,11016.4,
19628,8,11147.2,
19658,8,11227.8,
19688,8,11825.3,
19718,8,11727.1,
19748,8,12239.3,
19778,8,12315.5,
19808,8,12410.9,
19838,8,12606.8,
19868,8,12519.6,
19898,8,12776.8,
19928,8,12604.7,
19958,8,12553.6,
19988,8,12509.6,
20018,8,13025.6,
20049,8,12702.0,
20079,8,13071.5,
20109,8,13290.6,
20139,8,13054.9,
20169,8,13549.5,
20199,8,13660.1,
20229,8,13355.7,
20259,8,13059.0,
20289,8,13531.6,
20319,8,13221.9,
20349,8,13249.0,
20379,8,13511.9,
20409,8,13843.5,
20439,8,13959.3,
20469,8,13594.9,
20499,8,13548.7,
20529,8,13870.8,
20559,8,13713.3,
20590,8,13783.5,
20620,8,13935.3,
20650,8,13632.5,
20680,8,13847.9,
20710,8,13958.1,
20740,8,14443.2,
20770,8,13996.0,
20800,8,13792.8,
20830,8,13844.3,
20860,8,13728.7,
20890,8,14443.0,
20920,8,14094.4,
20950,8,14275.1,
20980,8,14531.1,
21010,8,15086.3,
21040,8,14600.5,
21070,8,14937.3,
21100,8,14709.4,
21131,8,14735.1,
21161,8,14815.2,
21191,8,14396.3,
21221,8,14753.0,
21251,8,14949.2,
21281,8,14800.1,
21311,8,14693.2,
21341,8,15223.3,
21371,8,14797.2,
21401,8,15331.5,
21431,8,14854.9,
21461,8,15303.1,
21491,8,14990.9,
21521,8,14966.2,
21551,8,15503.2,
21581,8,15596.1,
21611,8,15117.9,
21641,8,15206.2,recycle
21672,0,0.0,
21702,8,1866.2,
21732,8,3723.3,
21762,8,8153.1,
21792,8,9561.0,
21822,8,9948.8,
21852,8,10297.6,
21882,8,10297.0,
21912,8,10777.8,
21942,8,11112.1,
21972,8,11637.2,
22002,8,11844.7,
22032,8,11786.8,
22062,8,12281.7,
22092,8,12201.6,
22122,8,12344.1,
22152,8,12846.5,
22183,8,12322.6,
22213,8,12502.8,
22243,8,12683.8,
22273,8,12594.3,
22303,8,13300.1,
22333,8,13344.2,
22363,8,13407.1,
22393,8,13216.5,
22423,8,13696.9,
22453,8,13011.2,
22483,8,13416.8,
22513,8,13300.7,
22543,8,13213.9,
22573,8,13288.3,
22603,8,13797.8,
22633,8,13740.3,
22664,8,14147.2,
22694,8,13972.3,
22724,8,14400.1,
22754,8,13998.9,
22784,8,14566.6,
22814,8,14131.7,
22844,8,14540.8,
22874,8,14325.1,
22904,8,14203.6,
22934,8,14599.1,
22964,8,14804.8,
22994,8,14845.3,
23024,8,14579.0,
23054,8,14500.6,
23084,8,14835.1,
23114,8,14438.5,
23144,8,14431.2,
23174,8,14890.3,
23205,8,15082.4,
23235,8,14907.4,
23265,8,14568.9,
23295,8,14704.1,
23325,8,14442.1,
23355,8,14930.7,
23385,8,15069.7,
23415,8,14670.4,
23445,8,14669.7,
23475,8,15007.0,
23505,8,15184.1,
23535,8,14964.6,
23565,8,15110.0,
23595,8,14668.0,
23625,8,14978.9,
23655,8,14543.8,
23685,8,14704.3,
23715,8,14658.8,
23745,8,15090.3,
23776,8,15314.0,
23806,8,15060.4,
23836,8,15163.3,
23866,8,14984.7,
23896,8,15115.8,
23926,8,15100.6,
23956,8,15442.6,
23986,8,15416.2,
24016,8,15271.0,
24046,8,15398.7,recycle
24076,0,0.0,
24106,0,0.0,
24136,8,1909.9,
24166,8,4004.8,
24196,8,7562.3,
24226,8,9167.4,
24256,8,9476.5,
24286,8,10024.3,
24317,8,10645.1,
24347,8,10676.0,
24377,8,11377.3,
24407,8,11398.1,
24437,8,12051.0,
24467,8,11978.5,
24497,8,12187.8,
24527,8,11977.7,
24557,8,12114.6,
24587,8,12279.1,
24617,8,12620.9,
24647,8,12947.6,
24677,8,12600.9,
24707,8,12851.9,
24737,8,12632.3,
24767,8,13228.1,
24797,8,12982.6,
24827,8,13447.5,
24858,8,13499.2,
24888,8,13628.2,
24918,8,13598.1,
24948,8,13756.0,
24978,8,13832.9,
25008,8,13710.2,
25038,8,14157.4,
25068,8,13773.5,
25098,8,13933.6,
25128,8,14639.1,
25158,8,14009.7,
25188,8,14313.8,
25218,8,14006.5,
25248,8,14547.3,
25278,8,14275.3,
25308,8,14697.5,
25338,8,14520.7,
25369,8,14499.9,
25399,8,14502.8,
25429,8,14366.4,
25459,8,14522.3,
25489,8,14863.4,
25519,8,14861.0,
25549,8,14797.9,
25579,8,14503.8,
25609,8,14836.4,
25639,8,14593.8,
25669,8,14772.9,
25699,8,14616.4,
25729,8,14508.5,
25759,8,14590.8,
25789,8,15008.9,
25819,8,14695.4,
25849,8,14914.0,
25880,8,14626.1,
25910,8,14794.5,
25940,8,14996.2,
25970,8,14632.5,
26000,8,14783.6,
26030,8,14936.5,
26060,8,15137.1,
26090,8,15135.5,
26120,8,15235.8,
26150,8,15046.0,
26180,8,15343.6,
26210,8,15478.3,
26240,8,15859.6,
26270,8,15556.2,
26300,8,15862.1,
26330,8,15410.4,
26360,8,15827.9,
26390,8,15421.1,
26420,8,15674.9,
